Date,Days,S(t),I(t),R(t),I(t) + R(t)
29-Feb,0,2999976,17,7,24
1-Mar,1,2999970,23,7,30
2-Mar,2,2999947,46,7,53
3-Mar,3,2999927,66,7,73
4-Mar,4,2999896,97,7,104
5-Mar,5,2999826,167,7,174
6-Mar,6,2999778,215,7,222
7-Mar,7,2999663,330,7,337
8-Mar,8,2999549,444,7,451
9-Mar,9,2999481,512,7,519
10-Mar,10,2999289,703,8,711
11-Mar,11,2998891,1101,8,1109
12-Mar,12,2998439,1549,12,1561
13-Mar,13,2997843,2145,12,2157
14-Mar,14,2997130,2858,12,2870
15-Mar,15,2997032,2956,12,2968
16-Mar,16,2995640,4343,17,4360
17-Mar,17,2993859,6124,17,6141
18-Mar,18,2991086,8809,105,8914
19-Mar,19,2985847,14032,121,14153
20-Mar,20,2980521,19332,147,19479
21-Mar,21,2974182,25642,176,25818
22-Mar,22,2966244,33578,178,33756
23-Mar,23,2956155,43667,178,43845
24-Mar,24,2945892,53760,348,54108
25-Mar,25,2933956,65683,361,66044
26-Mar,26,2915920,83399,681,84080
27-Mar,27,2897746,101385,869,102254
28-Mar,28,2877946,120982,1072,122054
29-Mar,29,2858806,138529,2665,141194
30-Mar,30,2837310,157046,5644,162690
31-Mar,31,2811299,181677,7024,188701
1-Apr,32,2785806,205720,8474,214194
2-Apr,33,2755407,235592,9001,244593
3-Apr,34,2723465,266828,9707,276535
4-Apr,35,2690301,295047,14652,309699
5-Apr,36,2662427,320125,17448,337573
6-Apr,37,2632790,347629,19581,367210
7-Apr,38,2602008,376229,21763,397992
8-Apr,39,2570314,406127,23559,429686
9-Apr,40,2535558,439032,25410,464442
10-Apr,41,2502057,469153,28790,497943
11-Apr,42,2472042,496688,31270,527958
12-Apr,43,2443483,523529,32988,556517
13-Apr,44,2418190,538328,43482,581810
14-Apr,45,2391155,561082,47763,608845
15-Apr,46,2362026,585878,52096,637974
16-Apr,47,2330728,614569,54703,669272
17-Apr,48,2298004,643451,58545,701996
18-Apr,49,2269683,665477,64840,730317
19-Apr,50,2243625,686038,70337,756375
20-Apr,51,2216284,711387,72329,783716
21-Apr,52,2190787,734009,75204,809213
22-Apr,53,2162586,760048,77366,837414
23-Apr,54,2128383,791414,80203,871617
24-Apr,55,2092092,808829,99079,907908
25-Apr,56,2059171,840457,100372,940829
26-Apr,57,2031483,861529,106988,968517
27-Apr,58,2009007,879569,111424,990993
28-Apr,59,1984482,899582,115936,1015518
29-Apr,60,1957074,922206,120720,1042926
30-Apr,61,1927333,918720,153947,1072667
1-May,62,1893171,942814,164015,1106829
2-May,63,1863976,960642,175382,1136024
3-May,64,1838389,981459,180152,1161611
4-May,65,1815914,996906,187180,1184086
5-May,66,1791729,1018480,189791,1208271
6-May,67,1766473,1043617,189910,1233527
7-May,68,1738591,1066373,195036,1261409
8-May,69,1711434,1089573,198993,1288566
9-May,70,1685694,1101772,212534,1314306
10-May,71,1665916,1117915,216169,1334084
11-May,72,1647038,1120229,232733,1352962
12-May,73,1625086,1144627,230287,1374914
13-May,74,1603891,1152679,243430,1396109
14-May,75,1576274,1177312,246414,1423726
15-May,76,1550974,1198279,250747,1449026
16-May,77,1525873,1205751,268376,1474127
17-May,78,1506869,1220866,272265,1493131
18-May,79,1485161,1231661,283178,1514839
19-May,80,1464663,1245945,289392,1535337
20-May,81,1441051,1264637,294312,1558949
21-May,82,1415514,1286068,298418,1584486
22-May,83,1391377,1258488,350135,1608623
23-May,84,1369550,1269211,361239,1630450
24-May,85,1348761,1284503,366736,1651239
25-May,86,1329791,1291052,379157,1670209
26-May,87,1310943,1304155,384902,1689057
27-May,88,1292577,1315915,391508,1707423
28-May,89,1269741,1330268,399991,1730259
29-May,90,1245253,1348301,406446,1754747
30-May,91,1221007,1362532,416461,1778993
31-May,92,1200878,1354364,444758,1799122
1-Jun,93,1183524,1358245,458231,1816476
2-Jun,94,1162633,1373499,463868,1837367
3-Jun,95,1142752,1377990,479258,1857248
4-Jun,96,1121457,1393541,485002,1878543
5-Jun,97,1096146,1412148,491706,1903854
6-Jun,98,1073462,1425689,500849,1926538
7-Jun,99,1055691,1437942,506367,1944309
8-Jun,100,1038219,1443259,518522,1961781
9-Jun,101,1020132,1455013,524855,1979868
10-Jun,102,999298,1467198,533504,2000702
11-Jun,103,976410,1483298,540292,2023590
12-Jun,104,951014,1501600,547386,2048986
13-Jun,105,925474,1517920,556606,2074526
14-Jun,106,905942,1532242,561816,2094058
15-Jun,107,885974,1537692,576334,2114026
16-Jun,108,862269,1554228,583503,2137731
17-Jun,109,836710,1571099,592191,2163290
18-Jun,110,808948,1591937,599115,2191052
