Country,FirstPeakHeight,Maximum,DayOfFirstPeak,DayOfMaximum,DayOfFirstCase,TotalCases,MaxOverTotal,DaysFromFirstCaseToFirstPeak,DaysFromFirstCaseToMax,SecondPeak
Afghanistan,915,915,135,135,33,30616,0.029886334,102,102,0
Albania,34,82,94,146,47,2330,0.035193133,47,99,1
Algeria,185,283,72,157,34,12968,0.021822949,38,123,1
Andorra,79,79,132,132,40,855,0.092397661,92,92,1
Angola,47,47,157,157,58,259,0.181467181,99,99,0
Argentina,2886,2886,156,156,41,57744,0.049979219,115,115,0
Armenia,771,771,155,155,39,23909,0.032247271,116,116,0
Aruba,13,13,66,66,51,101,0.128712871,15,15,0
Australia,497,497,66,66,4,7686,0.064663024,62,62,0
Austria,1321,1321,64,64,34,17580,0.075142207,30,30,0
Azerbaijan,105,590,77,154,39,15890,0.037130271,38,115,1
Bahamas,7,7,70,70,54,104,0.067307692,16,16,0
Bahrain,786,786,145,145,33,25267,0.031107769,112,112,0
Bangladesh,4008,4008,147,147,46,133978,0.029915359,101,101,0
Belarus,973,973,98,98,37,61095,0.015926017,61,61,0
Belgium,2454,2454,84,84,13,61209,0.040092143,71,71,0
Benin,102,115,107,151,54,1333,0.086271568,53,97,1
Bermuda,24,24,84,84,57,146,0.164383562,27,27,0
Bolivia,1253,1253,157,157,49,30676,0.040846264,108,108,0
Bosnia and Herzegovina,92,252,98,152,43,3935,0.064040661,55,109,1
Brazil,54771,54771,149,149,35,1313667,0.041693214,114,114,0
Brunei,26,26,51,51,47,141,0.184397163,4,4,0
Bulgaria,137,166,93,155,46,4625,0.035891892,47,109,1
Burkina Faso,41,41,80,80,48,941,0.04357067,32,32,0
Burma,24,24,148,148,65,296,0.081081081,83,83,0
Burundi,40,40,151,151,69,170,0.235294118,82,82,0
Cabo Verde,64,64,157,157,58,1091,0.058661778,99,99,0
Cambodia,9,31,156,60,5,141,0.219858156,151,55,1
Cameroon,1183,1183,145,145,44,12592,0.093948539,101,101,0
Canada,2778,2778,74,74,4,104862,0.026491961,70,70,0
Cayman Islands,17,17,118,118,51,196,0.086734694,67,67,0
Central African Republic,216,216,138,138,53,3429,0.062992126,85,85,0
Chad,83,83,106,106,57,865,0.095953757,49,49,0
Channel Islands,47,47,74,74,48,571,0.082311734,26,26,0
Chile,36179,36179,147,147,41,267766,0.135114242,106,106,0
China,15136,15136,22,22,1,84196,0.17977101,21,21,0
Colombia,5382,5382,151,151,44,84660,0.063571935,107,107,0
Comoros,44,44,121,121,99,272,0.161764706,22,22,0
Congo (Brazzaville),204,204,152,152,53,1087,0.187672493,99,99,0
Congo (Kinshasa),198,198,155,155,49,6690,0.029596413,106,106,0
Costa Rica,37,169,78,155,44,2979,0.056730446,34,111,1
Cote d'Ivoire,430,430,149,149,49,8944,0.048076923,100,100,0
Croatia,96,96,70,70,34,2624,0.036585366,36,36,1
Cuba,74,74,101,101,50,2330,0.031759657,51,51,1
Cyprus,58,58,70,70,47,994,0.058350101,23,23,0
Czechia,381,381,73,73,39,11298,0.033722783,34,34,1
Denmark,390,390,76,76,36,12675,0.030769231,40,40,0
Djibouti,156,280,85,129,56,4643,0.060305837,29,73,1
Dominican Republic,899,899,151,151,39,30619,0.029360854,112,112,0
Ecuador,11536,11536,93,93,39,57687,0.199975731,54,54,0
Egypt,1774,1774,149,149,23,63923,0.027752139,126,126,0
El Salvador,210,210,157,157,57,5727,0.036668413,100,100,0
Equatorial Guinea,358,358,146,146,53,2001,0.178910545,93,93,0
Eritrea,7,31,71,144,59,191,0.162303665,12,85,1
Estonia,134,134,64,64,36,1986,0.067472306,28,28,0
Eswatini,30,51,106,141,52,745,0.068456376,54,89,1
Ethiopia,399,399,150,150,51,5570,0.071633752,99,99,0
Faroe Islands,29,29,55,55,42,187,0.155080214,13,13,0
Finland,267,267,73,73,7,7198,0.037093637,66,66,0
France,26843,26843,81,81,2,200085,0.134157983,79,79,0
French Guiana,278,278,151,151,45,3461,0.080323606,106,106,0
Gabon,570,570,145,145,52,5209,0.109425993,93,93,0
Georgia,42,42,85,85,35,921,0.045602606,50,50,0
Germany,6933,6933,65,65,5,194458,0.035652943,60,60,0
Ghana,921,921,107,107,52,16431,0.056052584,55,55,0
Gibraltar,20,20,65,65,42,178,0.112359551,23,23,0
Greece,156,156,90,90,35,3366,0.046345811,55,55,0
Guadeloupe,29,29,66,66,51,182,0.159340659,15,15,0
Guatemala,800,800,155,155,52,16397,0.048789413,103,103,0
Guinea,278,278,127,127,51,5291,0.052542053,76,76,0
Guinea-Bissau,156,156,103,103,63,1614,0.096654275,40,40,0
Guyana,21,21,152,152,50,245,0.085714286,102,102,0
Haiti,332,332,136,136,58,5777,0.057469275,78,78,0
Honduras,1048,1048,150,150,49,17027,0.061549304,101,101,0
Hungary,210,210,79,79,42,4138,0.050749154,37,37,0
Iceland,99,99,71,71,37,1836,0.053921569,34,34,0
India,19906,19906,157,157,8,528859,0.037639522,149,149,0
Indonesia,1385,1385,157,157,40,52812,0.0262251,117,117,0
Iran,3186,3574,68,134,28,220180,0.016232174,40,106,1
Iraq,2437,2437,155,155,33,43262,0.056331191,122,122,0
Ireland,1515,1515,79,79,38,25437,0.05955891,41,41,0
Isle of Man,32,32,78,78,58,336,0.095238095,20,20,0
Israel,1131,1131,63,63,30,23421,0.048289996,33,33,1
Italy,6557,6557,59,59,9,240284,0.027288542,50,50,0
Jamaica,52,52,84,84,49,690,0.075362319,35,35,0
Japan,1161,1161,86,86,4,18722,0.062012605,82,82,0
Jordan,40,40,64,64,41,1111,0.0360036,23,23,1
Kazakhstan,902,902,149,149,51,20319,0.044391948,98,98,0
Kenya,278,278,157,157,51,5811,0.047840303,106,106,0
"Korea, South",851,851,41,41,2,12714,0.066934088,39,39,0
Kosovo,683,683,152,152,64,2169,0.314891655,88,88,0
Kuwait,1073,1073,118,118,33,44391,0.024171566,85,85,0
Kyrgyzstan,375,375,151,151,56,4513,0.083093286,95,95,0
Latvia,48,48,70,70,40,1115,0.043049327,30,30,0
Lebanon,63,63,120,120,30,1719,0.036649215,90,90,1
Liberia,17,45,77,157,54,729,0.061728395,23,103,1
Libya,76,76,138,138,62,727,0.104539202,76,76,0
Lithuania,90,90,87,87,37,1918,0.046923879,50,50,0
Luxembourg,234,234,63,63,38,4217,0.055489685,25,25,0
Madagascar,93,93,151,151,58,2012,0.046222664,93,93,0
Malawi,138,138,154,154,71,1038,0.132947977,83,83,0
Malaysia,217,277,72,134,3,8616,0.032149489,69,131,1
