Country,FirstPeakHeight,Maximum,DayOfFirstPeak,DayOfMaximum,DayOfFirstCase,TotalCases,MaxOverTotal,DaysFromFirstCaseToFirstPeak,DaysFromFirstCaseToMax,SecondPeak
Afghanistan,-0.178982748,-0.182873847,0.768944425,0.553681652,-0.460915249,-0.114232808,-0.76677559,1.044939467,0.806066725,0
Albania,-0.318131608,-0.307667602,-0.388834905,0.854572209,0.294246356,-0.240624298,-0.678300291,-0.56152369,0.722062114,1
Algeria,-0.294282031,-0.277555304,-1.010082351,1.155462765,-0.406975135,-0.193090087,-0.901208871,-0.824399479,1.394099009,1
Andorra,-0.311024118,-0.30811704,0.684228865,0.471620591,-0.083334447,-0.2472151,0.275417335,0.752855257,0.526051352,1
Angola,-0.316078333,-0.312911038,1.390191871,1.155462765,0.887587617,-0.249878231,1.760390187,0.957314204,0.722062114,0
Argentina,0.132325315,0.112406456,1.361953351,1.128109078,-0.029394332,0.006984343,-0.4317857,1.42464894,1.17008671,0
Armenia,-0.201726716,-0.204446837,1.333714831,1.100755391,-0.137274561,-0.14420197,-0.727413894,1.453857361,1.198088248,0
Aruba,-0.321448437,-0.31800466,-1.179513473,-1.333722747,0.510006814,-0.250584229,0.880866887,-1.496193162,-1.63006702,0
Australia,-0.245003433,-0.245495443,-1.179513473,-1.333722747,-2.025178574,-0.216691864,-0.186976344,-0.123397374,-0.313994767,0
Austria,-0.114857394,-0.12205,-1.235990513,-1.388430121,-0.406975135,-0.172482099,-0.012266721,-1.058066847,-1.21004396,0
Azerbaijan,-0.306917569,-0.231562887,-0.86888975,1.073401704,-0.137274561,-0.180033595,-0.6460042,-0.824399479,1.17008671,1
Bahamas,-0.322396102,-0.318903535,-1.066559392,-1.224308,0.671827158,-0.250570824,-0.142884266,-1.466984741,-1.602065483,0
Bahrain,-0.199357553,-0.202199651,1.051329628,0.827218522,-0.460915249,-0.138133963,-0.746411746,1.337023677,1.086082099,0
Bangladesh,0.309538733,0.280496004,1.107806669,0.881925895,0.240306241,0.347623841,-0.766291684,1.015731046,0.778065188,0
Belarus,-0.169821983,-0.174184726,-0.275880824,-0.458404765,-0.245154791,0.021957753,-0.999522907,-0.152605795,-0.341996304,0
Belgium,0.064093411,0.047687485,-0.671220108,-0.841356382,-1.539717542,0.022467144,-0.596623676,0.139478415,-0.061980931,0
Benin,-0.307391401,-0.302723792,-0.021734142,0.991340643,0.671827158,-0.245079233,0.173282712,-0.386273163,0.666059039,1
Bermuda,-0.319711051,-0.316356723,-0.671220108,-0.841356382,0.833647502,-0.250383154,1.475570976,-1.14569211,-1.294048572,0
Bolivia,-0.125597601,-0.132237245,1.390191871,1.155462765,0.402126585,-0.113964707,-0.584050922,1.220189993,0.974075949,0
Bosnia and Herzegovina,-0.308970843,-0.282199489,-0.275880824,1.01869433,0.078485897,-0.23345261,-0.197352421,-0.327856321,1.002077487,1
Brazil,8.327261311,7.885424467,1.164283709,0.936633269,-0.35303502,5.618876406,-0.569930516,1.395440519,1.142085173,0
Brunei,-0.319395162,-0.316057099,-1.603091277,-1.744028052,0.294246356,-0.250405496,1.809239039,-1.817485794,-1.93808393,0
Bulgaria,-0.301863353,-0.295083358,-0.417073426,1.100755391,0.240306241,-0.230369455,-0.666650535,-0.56152369,1.002077487,1
Burkina Faso,-0.317025999,-0.313809912,-0.784174189,-0.95077113,0.34818647,-0.246830823,-0.538629447,-0.999650005,-1.154040886,0
Burma,-0.319711051,-0.316356723,1.136045189,0.909279582,1.265168419,-0.249712903,0.086746574,0.489979467,0.274037517,0
Burundi,-0.317183943,-0.313959725,1.22076075,0.991340643,1.480928878,-0.250275914,2.657796395,0.460771046,0.246035979,0
Cabo Verde,-0.313393282,-0.310364226,1.390191871,1.155462765,0.887587617,-0.246160572,-0.287029509,0.957314204,0.722062114,0
Cambodia,-0.322080214,-0.315308036,1.361953351,-1.497844869,-1.971238459,-0.250405496,2.400447029,2.476152097,-0.510005528,1
Cameroon,-0.136653696,-0.142724115,1.051329628,0.827218522,0.132426012,-0.194770184,0.301273674,1.015731046,0.778065188,0
Canada,0.115267339,0.096226713,-0.953605311,-1.114893252,-2.025178574,0.217523628,-0.823366799,0.110269994,-0.089982468,0
Cayman Islands,-0.32081666,-0.31740541,0.288889581,0.088668974,0.510006814,-0.250159737,0.181003979,0.022644731,-0.17398708,0
