Date,Days,S(t),I(t),R(t),I(t) + R(t),New Cases,Cumulative New Cases
10-Mar,0,2999289,705,6,711,192,687
11-Mar,1,2998891,1080,29,1109,398,1085
12-Mar,2,2998439,1512,49,1561,452,1537
13-Mar,3,2997843,2077,80,2157,596,2133
14-Mar,4,2997130,2720,150,2870,713,2846
15-Mar,5,2997032,2770,198,2968,98,2944
16-Mar,6,2995640,4047,313,4360,1392,4336
17-Mar,7,2993859,5714,427,6141,1781,6117
18-Mar,8,2991086,8419,495,8914,2773,8890
19-Mar,9,2985847,13466,687,14153,5239,14129
20-Mar,10,2980521,18394,1085,19479,5326,19455
21-Mar,11,2974182,24281,1537,25818,6339,25794
22-Mar,12,2966244,31623,2133,33756,7938,33732
23-Mar,13,2956155,40999,2846,43845,10089,43821
24-Mar,14,2945892,51164,2944,54108,10263,54084
25-Mar,15,2933956,61708,4336,66044,11936,66020
26-Mar,16,2915920,77963,6117,84080,18036,84056
27-Mar,17,2897746,93364,8890,102254,18174,102230
28-Mar,18,2877946,107925,14129,122054,19800,122030
29-Mar,19,2858806,121739,19455,141194,19140,141170
30-Mar,20,2837310,136896,25794,162690,21496,162666
31-Mar,21,2811299,154969,33732,188701,26011,188677
1-Apr,22,2785806,170373,43821,214194,25493,214170
2-Apr,23,2755407,190509,54084,244593,30399,244569
3-Apr,24,2723465,210515,66020,276535,31942,276511
4-Apr,25,2690301,225643,84056,309699,33164,309675
5-Apr,26,2662427,235343,102230,337573,27874,337549
6-Apr,27,2632790,245180,122030,367210,29637,367186
7-Apr,28,2602008,256822,141170,397992,30782,397968
8-Apr,29,2570314,267020,162666,429686,31694,429662
9-Apr,30,2535558,275765,188677,464442,34756,464418
10-Apr,31,2502057,283773,214170,497943,33501,497919
11-Apr,32,2472042,283389,244569,527958,30015,527934
12-Apr,33,2443483,280006,276511,556517,28559,556493
13-Apr,34,2418190,272135,309675,581810,25293,581786
14-Apr,35,2391155,271296,337549,608845,27035,608821
15-Apr,36,2362026,270788,367186,637974,29129,637950
16-Apr,37,2330728,271304,397968,669272,31298,669248
17-Apr,38,2298004,272334,429662,701996,32724,701972
18-Apr,39,2269683,265899,464418,730317,28321,730293
19-Apr,40,2243625,258456,497919,756375,26058,756351
20-Apr,41,2216284,255782,527934,783716,27341,783692
21-Apr,42,2190787,252720,556493,809213,25497,809189
22-Apr,43,2162586,255628,581786,837414,28201,837390
23-Apr,44,2128383,262796,608821,871617,34203,871593
24-Apr,45,2092092,269958,637950,907908,36291,907884
25-Apr,46,2059171,271581,669248,940829,32921,940805
26-Apr,47,2031483,266545,701972,968517,27688,968493
27-Apr,48,2009007,260700,730293,990993,22476,990969
28-Apr,49,1984482,259167,756351,1015518,24525,1015494
29-Apr,50,1957074,259234,783692,1042926,27408,1042902
30-Apr,51,1927333,263478,809189,1072667,29741,1072643
1-May,52,1893171,269439,837390,1106829,34162,1106805
2-May,53,1863976,264431,871593,1136024,29195,1136000
3-May,54,1838389,253727,907884,1161611,25587,1161587
4-May,55,1815914,243281,940805,1184086,22475,1184062
5-May,56,1791729,239778,968493,1208271,24185,1208247
6-May,57,1766473,242558,990969,1233527,25256,1233503
7-May,58,1738591,245915,1015494,1261409,27882,1261385
8-May,59,1711434,245664,1042902,1288566,27157,1288542
9-May,60,1685694,241663,1072643,1314306,25740,1314282
10-May,61,1665916,227279,1106805,1334084,19778,1334060
11-May,62,1647038,216962,1136000,1352962,18878,1352938
12-May,63,1625086,213327,1161587,1374914,21952,1374890
13-May,64,1603891,212047,1184062,1396109,21195,1396085
14-May,65,1576274,215479,1208247,1423726,27617,1423702
15-May,66,1550974,215523,1233503,1449026,25300,1449002
16-May,67,1525873,212742,1261385,1474127,25101,1474103
17-May,68,1506869,204589,1288542,1493131,19004,1493107
18-May,69,1485161,200557,1314282,1514839,21708,1514815
19-May,70,1464663,201277,1334060,1535337,20498,1535313
20-May,71,1441051,206011,1352938,1558949,23612,1558925
21-May,72,1415514,209596,1374890,1584486,25537,1584462
22-May,73,1391377,212538,1396085,1608623,24137,1608599
23-May,74,1369550,206748,1423702,1630450,21827,1630426
24-May,75,1348761,202237,1449002,1651239,20789,1651215
25-May,76,1329791,196106,1474103,1670209,18970,1670185
26-May,77,1310943,195950,1493107,1689057,18848,1689033
27-May,78,1292577,192608,1514815,1707423,18366,1707399
28-May,79,1269741,194946,1535313,1730259,22836,1730235
29-May,80,1245253,195822,1558925,1754747,24488,1754723
30-May,81,1221007,194531,1584462,1778993,24246,1778969
31-May,82,1200878,190523,1608599,1799122,20129,1799098
1-Jun,83,1183524,186050,1630426,1816476,17354,1816452
2-Jun,84,1162633,186152,1651215,1837367,20891,1837343
3-Jun,85,1142752,187063,1670185,1857248,19881,1857224
4-Jun,86,1121457,189510,1689033,1878543,21295,1878519
5-Jun,87,1096146,196455,1707399,1903854,25311,1903830
6-Jun,88,1073462,196303,1730235,1926538,22684,1926514
7-Jun,89,1055691,189586,1754723,1944309,17771,1944285
8-Jun,90,1038219,182812,1778969,1961781,17472,1961757
9-Jun,91,1020132,180770,1799098,1979868,18087,1979844
10-Jun,92,999298,184250,1816452,2000702,20834,2000678
11-Jun,93,976410,186247,1837343,2023590,22888,2023566
