State,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020
Alabama,856,903,1037,1253,1233,1248,1365,1475,1503,1804,1960,2157,2330,2239,2339,2310,2393,2402,2384,2185,2132,2100,2030,2098,2073,1951,2076,1968,2038,2024,2009,1977,2018,2056,2086,2411,2270,2507,2635,2756,2801,2870,2853,2812,2989,2936,2983,2725,2701,2708,3163,3124,3206,3417,3377,3613,3976,4261,4444,4655,4307,4664,4960,4649,4373,4086,3737,4011,3970,3894,4063,4037,4215,4944,5750,6543,6885,6869,6812,7281,7580,7560,7176,6744,6496,6449,6934,7271,7771,7235,8173,8496
Alaska,106,114,113,123,130,129,132,128,124,121,127,125,129,120,114,108,110,96,88,84,75,72,63,60,54,46,40,36,37,36,34,35,30,31,31,32,32,29,26,23,24,15,18,15,13,17,16,14,11,22,22,22,20,24,24,20,22,23,36,29,32,58,63,79,97,104,113,124,119,133,139,133,143,138,149,148,140,140,152,145,148,149,143,134,107,129,150,158,156,173,181,196
Arizona,1185,1261,1361,1443,1618,1761,1795,1802,1807,1861,1823,1980,1946,1936,1790,1695,1777,1936,1998,1915,1956,1863,1931,2067,2236,2322,2297,2214,2231,2276,2587,2713,2891,2868,2879,3019,3173,3220,3571,3751,3464,3414,3372,3576,3750,3864,3959,4000,3682,3616,3787,3965,3888,3837,3703,3406,3198,3373,3669,3896,4352,4588,4505,5211,5979,6311,7575,8133,9112,9206,9038,9916,11138,11775,12304,12820,12405,13734,13948,15767,18614,20275,21324,21560,23718,24484,26437,27474,29187,30475,27635,29101
Arkansas,401,419,451,485,463,502,494,537,574,646,648,644,637,706,755,732,745,749,744,662,802,762,996,1189,1312,1342,1381,1374,1383,1412,1308,1347,1096,838,681,614,610,634,620,554,731,706,792,799,875,938,967,1056,1066,1176,991,1415,1448,1539,1556,1566,1602,1518,1725,1854,2010,1795,1831,2043,2145,2396,2471,2824,2888,2963,3067,3115,3373,3729,4028,4076,4266,4090,4180,4188,4551,4774,4745,4536,4583,4874,5145,5549,5704,5890,5626,5635
California,6805,7753,8665,9466,9839,11135,11362,12256,13045,12572,12871,12307,12022,11927,12519,11652,11658,11806,11594,11721,12605,13759,14549,15630,15999,15682,15881,15809,15673,17316,16444,16561,16003,15342,14529,16088,17058,17182,17615,17811,17470,17303,17631,17895,18987,18237,18109,18018,17678,17194,18397,18702,19274,19741,19149,19707,20662,20884,22356,22870,23898,23920,24481,24676,25328,25768,26351,27543,26802,27194,26746,27764,28644,29444,30670,30132,29988,30368,32183,33270,34221,35498,35169,38106,41459,43625,45386,47883,47786,48210,52784,56019
Colorado,2491,2747,3005,3261,3478,3520,3445,3368,3347,3575,3547,3551,3579,3523,3385,3330,3492,3618,3785,3528,3599,3580,3584,3582,4306,4688,4766,4832,4876,5028,5172,5320,5334,5357,4662,4399,4391,4491,4511,4617,4419,4086,3932,3840,3920,3865,3801,3568,3375,3107,3094,3312,3330,3489,3336,3024,2919,2816,2905,3116,3287,3173,3076,2810,2872,3090,3049,3080,2880,2571,2249,2120,2069,2033,1956,1769,1683,1593,1669,1717,1839,1849,1892,1882,1875,2024,2179,2353,2350,2404,2322,2365
Connecticut,2934,3230,3409,4296,4401,4663,5615,6257,5788,7213,7410,7953,8211,8467,8713,9080,8978,9028,9769,8178,9277,8850,10434,9719,9947,9828,9385,9188,8762,8805,7885,8404,6818,6187,6037,6038,5726,5787,6099,6217,5854,5001,5046,5568,5491,5464,5708,5635,5705,5446,5463,5443,5307,5167,5004,4788,4600,3869,3443,3332,3005,2993,3100,2957,2623,2366,2157,2530,2409,2330,2157,2146,1721,1710,1903,1849,1775,1531,1461,1348,1378,1368,1294,1093,905,825,759,710,777,863,805,799
Delaware,274,312,325,346,474,543,620,714,884,945,1007,1111,1232,1308,1333,1341,1287,1389,1422,1329,1419,1452,1575,1550,1516,1562,1964,1845,2037,2117,1989,1987,1838,1900,1846,1795,1744,1777,1536,1622,1543,1647,1703,1744,1935,2002,1769,1731,1758,1760,1917,1821,1788,1577,1586,1592,1519,1426,1302,1199,1228,1112,1076,1156,903,781,707,749,771,736,598,558,501,488,517,518,567,558,502,527,591,625,669,647,618,625,640,614,647,727,765,793
District of Columbia,397,484,533,616,715,771,826,907,1098,1122,1165,1192,1222,1198,1156,1195,1253,1265,1226,1270,1267,1320,1331,1406,1470,1502,1491,1416,1328,1313,1396,1560,1591,1655,1642,1623,1620,1762,1905,1996,1949,1731,1688,1568,1566,1549,1581,1469,1371,1332,1279,1399,1408,1382,1374,1354,1292,1283,1222,1104,1166,1013,964,920,906,895,865,863,840,851,757,736,732,768,693,647,600,549,515,514,478,447,431,404,385,361,360,367,369,345,340,343
Florida,5978,5952,7781,8856,9855,9993,10424,10782,11210,10891,10790,11538,10887,10751,10091,10161,10019,10214,10036,9950,9528,9375,8414,8629,8905,8328,8189,7379,7356,6879,6631,6859,7154,6430,6364,6600,6470,6690,6351,6808,6906,6254,6460,6324,6313,6699,6809,6760,7243,6943,6875,7693,7528,7725,7657,7608,7444,7046,6843,7553,7953,7488,7379,7320,7897,8437,9233,10124,10653,10407,10576,11208,12239,13524,14788,15385,15838,17351,18781,21022,23748,26426,28222,29246,29951,33446,36692,42851,49826,55149,56593,58637
