State,Total Cases,Day of First Case,First Peak Height,Day of First Peak,Days from First Case to First Peak,Averages Cases Since First Case,High School Completion,"Crime Rate (per 100,000)",Avg Teacher's Salary,Pupil/Teacher Ratio,Expenditure per Student,Population,Population Density,Median Household Income,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults Over 64,May 2020 Unemployment,SecondPeak
Alabama,43953,49,375,76,27,385.55,86,3605.0,49375,15.6,8797,4903185,95.8,49936,0.24,0.09,0.12,0.25,0.14,0.17,9.9,1
Alaska,1134,49,27,64,15,11.12,71,3395.8,65891,8.7,20117,731545,1.3,68734,0.27,0.09,0.13,0.26,0.13,0.12,12.6,1
Arizona,98103,2,4877,159,157,831.38,76,3597.4,45335,17.7,7461,7278717,60.1,62283,0.24,0.09,0.12,0.24,0.12,0.18,8.9,0
Arkansas,23823,49,323,90,41,214.62,87,3818.1,48493,8.0,9573,3017804,57.2,49781,0.25,0.09,0.12,0.25,0.13,0.17,9.5,1
California,264681,2,2255,87,85,1975.23,81,2837.2,71396,20.2,11145,39512223,251.0,70489,0.24,0.09,0.14,0.26,0.12,0.14,16.3,1
Colorado,34048,41,978,91,50,281.39,77,2839.2,49615,16.6,10899,5758736,52.6,73034,0.24,0.09,0.14,0.26,0.13,0.14,10.2,0
Connecticut,46732,46,2109,89,43,417.25,87,2157.3,70583,12.8,17759,3565287,741.2,72812,0.22,0.08,0.11,0.27,0.15,0.17,9.4,0
Delaware,12128,47,458,93,46,108.29,87,3471.1,59305,13.3,15858,973764,484.1,65012,0.22,0.08,0.12,0.25,0.14,0.19,15.8,1
District of Columbia,10482,52,335,97,45,94.43,69,5370.0,64385,12.8,28000,705749,11212.0,85750,0.20,0.10,0.21,0.27,0.10,0.12,8.9,0
Florida,200111,38,2052,69,31,1613.80,76,3956.0,47780,15.1,9223,21477737,375.9,54644,0.21,0.08,0.12,0.25,0.14,0.21,14.5,1
Georgia,95516,39,1525,84,45,782.92,73,3658.5,53560,20.8,9291,10617423,176.4,55821,0.26,0.09,0.12,0.27,0.12,0.14,9.7,1
Hawaii,1030,43,63,70,27,10.30,82,3309.2,56291,14.9,12014,1415872,222.9,80108,0.23,0.07,0.12,0.25,0.13,0.19,22.6,1
Idaho,7735,49,210,69,20,85.00,77,2067.0,44465,18.6,8928,1787065,20.0,58728,0.27,0.09,0.12,0.24,0.12,0.16,8.9,1
